X,Y,Z,formation
66.7585,0,227.7816,Jrq
198.6982,0,295.4327,Jrq
364.4354,0,380.4132,Jrq
496.7053,0,450.3213,Jrq
577.9642,0,489.2122,Jrq
719.3137,0,519.2332,Jrq
847.0062,0,530.1499,Jrq
1031.8609,0,545.9535,Jrq
744.0761,0,922.6733,Jrq
818.168,0,947.5952,Jrq
974.1073,0,947.5952,Jrq
1104.6292,0,947.5952,Jrq
1213.1684,0,947.5952,Jrq
1302.1577,0,1021.1781,Jrq
1412.7578,0,1075.4038,Jrq
1504.2491,0,1137.4778,Jrq
1594.2405,0,1180.7211,Jrq
1659.5631,0,1212.1104,Jrq
1733.6928,0,1228.0828,Jrq
1886.1973,0,1228.0828,Jrq
2047.6323,0,1228.0828,Jrq
2137.9082,0,1161.3502,Jrq
2233.4298,0,1090.74,Jrq
2339.4764,0,1012.3496,Jrq
2396.9014,0,969.9006,Jrq
2484.5759,0,905.091,Jrq
2571.7382,0,840.66,Jrq
2671.8726,0,788.2751,Jrq
2774.6303,0,734.5179,Jrq
2853.9163,0,679.1374,Jrq
2930.1685,0,646.1901,Jrq
2977.5685,0,646.1901,Jrq
3023.5947,0,656.4861,Jrq
3112.2121,0,723.067,Jrq
3181.1968,0,774.8972,Jrq
3263.7514,0,822.5632,Jrq
3350.308,0,859.6289,Jrq
3425.8733,0,910.4226,Jrq
3520.8155,0,951.3178,Jrq
3626.5029,0,996.8414,Jrq
3768.807,0,1030.2539,Jrq
3890.5332,0,1058.8348,Jrq
4017.739,0,1088.7023,Jrq
4142.1401,0,1106.4655,Jrq
4241.0064,0,1120.5826,Jrq
4336.549,0,1143.5311,Jrq
4414.1751,0,1143.5311,Jrq
4515.1579,0,1143.5311,Jrq
4611.3319,0,1115.3887,Jrq
4716.8425,0,1070.0003,Jrq
4822.147,0,1024.7006,Jrq
4911.2514,0,973.9041,Jrq
5021.1646,0,925.856,Jrq
5111.2597,0,874.0908,Jrq
5201.957,0,821.9796,Jrq
5303.0124,0,763.917,Jrq
5398.9767,0,718.6079,Jrq
5519.6465,0,653.8702,Jrq
5625.8362,0,605.3656,Jrq
5735.0599,0,546.9003,Jrq
5854.6752,0,482.8725,Jrq
5950.3919,0,431.6372,Jrq
6059.1495,0,366.3368,Jrq
6154.937,0,318.6983,Jrq
6261.1267,0,281.0207,Jrq
6387.9614,0,236.0178,Jrq
6494.4382,0,198.2383,Jrq
6616.278,0,181.6801,Jrq
6747.6065,0,153.097,Jrq
6833.1838,0,153.097,Jrq
6911.2008,0,153.097,Jrq
7000.0534,0,169.4911,Jrq
7102.1064,0,199.4558,Jrq
7209.5964,0,246.6611,Jrq
7288.7819,0,281.4362,Jrq
7364.453,0,322.1635,Jrq
7453.739,0,363.3058,Jrq
7539.8871,0,403.0021,Jrq
7662.1352,0,490.4173,Jrq
7795.963,0,566.4539,Jrq
7917.1551,0,635.3113,Jrq
8010.4524,0,688.5812,Jrq
8117.1749,0,749.5164,Jrq
8216.1004,0,821.1561,Jrq
8308.8178,0,877.965,Jrq
8394.6508,0,930.5559,Jrq
8469.5033,0,976.4189,Jrq
8551.2074,0,1038.2241,Jrq
8657.9198,0,1108.1428,Jrq
8733.4809,0,1157.6509,Jrq
8833.0524,0,1233.3395,Jrq
8934.954,0,1298.8883,Jrq
9020.3314,0,1365.0951,Jrq
9123.545,0,1433.7029,Jrq
9193.9296,0,1480.4886,Jrq
40.4605,0,-827.1376,P3pc
151.4318,0,-756.3099,P3pc
230.9729,0,-715.5731,P3pc
295.0563,0,-682.7529,P3pc
375.7339,0,-641.434,P3pc
466.503,0,-601.5667,P3pc
534.5579,0,-571.6758,P3pc
617.73,0,-535.1453,P3pc
700.0614,0,-485.9585,P3pc
770.0096,0,-453.6087,P3pc
833.1629,0,-411.6737,P3pc
915.2488,0,-371.2113,P3pc
997.588,0,-322.8862,P3pc
1078.037,0,-282.8126,P3pc
