X,Y,Z,azimuth,dip,polarity,formation
1292.0906,0,-1064.9933,270,33,1,fault_2
1928.5807,0,-1754.2756,270,34,1,fault_3
3487.6382,0,-804.4005,270,22,1,fault_3
655.6705,0,-3139.9302,270,25,1,fault_4
2846.2927,0,-1954.6275,270,40,1,fault_4
4228.9909,0,-996.9558,270,26,1,fault_4
929.7474,0,-3467.2361,270,5,1,fault_5
4017.0886,0,-2548.7338,270,26,1,fault_5
6119.4401,0,-1508.1211,270,26,1,fault_5
1633.8930,0,-3480.9217,270,6,1,fault_6
3691.0208,0,-3246.0504,270,16,1,fault_6
6108.4763,0,-2400.3903,270,26,0.5,fault_6
7493.9887,0,-1638.5050,270,10,0.5,fault_6
8454.8024,0,-1532.7088,270,19,0.5,fault_6
9563.1666,0,-2003.629,90,0,1.01,F9
3014.9052,0,-3006.8485,90,50,0.46,F5
5771.1378,0,-2716.6049,270,9,1.5,F4
