X,Y,Z,formation
31.2325,0,-1932.8077,fault_2
431.1913,0,-1678.2145,fault_2
884.0738,0,-1344.8684,fault_2
1292.0906,0,-1064.9933,fault_2
26.3108,0,-2754.0047,fault_3
328.0367,0,-2622.6479,fault_3
858.2322,0,-2406.2448,fault_3
1209.6829,0,-2248.3409,fault_3
1654.3859,0,-1972.953,fault_3
2293.6074,0,-1515.132,fault_3
2802.5684,0,-1150.6057,fault_3
30.7337,0,-3370.7892,fault_4
655.6705,0,-3139.9302,fault_4
1142.655,0,-2909.0719,fault_4
1599.7229,0,-2653.2993,fault_4
2040.5644,0,-2436.9223,fault_4
2610.5401,0,-2113.6862,fault_4
2846.2927,0,-1954.6275,fault_4
3452.0361,0,-1399.8241,fault_4
3721.7012,0,-1245.0799,fault_4
38.5635,0,-3560.0344,fault_5
929.7474,0,-3467.2361,fault_5
1427.1716,0,-3403.6574,fault_5
1950.3767,0,-3310.823,fault_5
2514.33,0,-3157.6886,fault_5
3027.8702,0,-2963.6517,fault_5
3777.6857,0,-2649.149,fault_5
4017.0886,0,-2548.7338,fault_5
4335.3094,0,-2442.0548,fault_5
4698.2278,0,-2320.3915,fault_5
4936.8102,0,-2194.1095,fault_5
5542.0972,0,-1801.5184,fault_5
5891.8564,0,-1623.7759,fault_5
6119.4401,0,-1508.1211,fault_5
6440.4118,0,-1345.008,fault_5
6893.9474,0,-1144.9615,fault_5
36.9456,0,-3617.658,fault_6
1633.893,0,-3480.9217,fault_6
2861.321,0,-3352.2596,fault_6
3691.0208,0,-3246.0504,fault_6
4352.6604,0,-3064.2726,fault_6
4815.3899,0,-2883.744,fault_6
5118.0379,0,-2809.7461,fault_6
5446.4429,0,-2769.5295,fault_6
5768.5752,0,-2640.4493,fault_6
6108.4763,0,-2400.3903,fault_6
6340.5865,0,-2223.0867,fault_6
6620.9582,0,-2008.9172,fault_6
7152.3188,0,-1751.3752,fault_6
7493.9887,0,-1638.505,fault_6
7717.7537,0,-1598.2884,fault_6
8187.8234,0,-1556.4635,fault_6
8454.8024,0,-1532.7088,fault_6
8872.0007,0,-1390.7715,fault_6
9034.8449,0,-1287.6107,fault_6
9294.0261,0,-1202.3519,fault_6
25.8102,0,-1686.1745,F9
328.865,0,-1590.132,F9
580.8478,0,-1524.025,F9
35.3333,0,-2067.6749,F9
672.6313,0,-1917.3335,F9
1205.7091,0,-1709.4444,F9
1536.3964,0,-1580.4834,F9
1884.2801,0,-1411.8224,F9
2215.8361,0,-1249.7958,F9
2353.6492,0,-1182.4485,F9
2490.7818,0,-1164.992,F9
2659.3303,0,-1143.5363,F9
2776.6181,0,-1137.8824,F9
2505.2339,0,-1414.8034,F9
2699.9603,0,-1386.0318,F9
2858.2343,0,-1368.7691,F9
3167.8894,0,-1368.7691,F9
3351.105,0,-1386.958,F9
3407.7005,0,-1405.1799,F9
2674.7574,0,-2109.2688,F9
2900.825,0,-2065.8978,F9
3471.9823,0,-1853.8807,F9
3777.9655,0,-1795.2381,F9
4281.0568,0,-1699.3084,F9
4578.636,0,-1628.8378,F9
4931.5425,0,-1597.5618,F9
5391.4626,0,-1556.8018,F9
5866.2798,0,-1553.4235,F9
4775.0207,0,-2320.485,F9
5096.9414,0,-2310.5246,F9
5534.1236,0,-2296.998,F9
5853.9388,0,-2225.75,F9
6081.2139,0,-2109.9579,F9
6342.9249,0,-1976.6214,F9
6513.263,0,-1905.6245,F9
6921.3368,0,-1794.0664,F9
6921.7197,0,-1909.3459,F9
7194.3592,0,-1952.3524,F9
7782.9981,0,-1991.2316,F9
7964.4688,0,-2003.375,F9
8407.7767,0,-2003.375,F9
9097.8916,0,-2003.375,F9
9563.1666,0,-2003.629,F9
22.9076,0,-2501.7325,F5
197.5608,0,-2449.0181,F5
441.3071,0,-2382.1446,F5
618.5481,0,-2338.0393,F5
808.4792,0,-2290.7761,F5
981.2598,0,-2247.7808,F5
1145.2856,0,-2206.964,F5
1275.3488,0,-2180.1799,F5
25.9666,0,-2889.6944,F5
370.8999,0,-2783.9947,F5
645.6507,0,-2699.8013,F5
834.984,0,-2619.2833,F5
1001.5756,0,-2565.8997,F5
1243.9892,0,-2490.0949,F5
1488.9392,0,-2380.0031,F5
1777.807,0,-2229.1882,F5
2103.4492,0,-2056.6603,F5
2435.8989,0,-1880.5257,F5
2570.3476,0,-1830.9176,F5
2679.6994,0,-1812.1264,F5
2928.7759,0,-1792.3783,F5
3004.2446,0,-1782.9006,F5
917.5206,0,-3054.3898,F5
1247.1182,0,-3013.7473,F5
1695.9459,0,-2919.1289,F5
2012.3638,0,-2852.4242,F5
2395.595,0,-2736.5278,F5
2702.1211,0,-2608.0116,F5
2918.0288,0,-2490.7225,F5
3049.1839,0,-2417.9968,F5
3254.1807,0,-2368.4114,F5
3589.9516,0,-2258.0319,F5
3706.7779,0,-2243.7071,F5
3869.8945,0,-2186.4081,F5
4089.8882,0,-2109.1294,F5
4218.6837,0,-2078.1708,F5
4352.7705,0,-2045.9405,F5
4498.4038,0,-2001.2664,F5
4668.6691,0,-1982.4752,F5
4809.9725,0,-1966.8803,F5
4998.5484,0,-1930.4429,F5
5120.1675,0,-1909.441,F5
5293.7495,0,-1898.3865,F5
3014.9052,0,-3006.8485,F5
3262.7927,0,-2966.7163,F5
3588.5908,0,-2913.9706,F5
3843.0075,0,-2894.8569,F5
4018.5257,0,-2819.4448,F5
4200.2154,0,-2751.8539,F5
4397.0512,0,-2692.53,F5
4561.8389,0,-2653.8057,F5
4700.9314,0,-2621.1198,F5
4904.0776,0,-2588.2129,F5
5073.1952,0,-2560.8182,F5
5199.4591,0,-2546.632,F5
5437.4867,0,-2546.632,F5
5594.1797,0,-2524.0695,F5
5739.2495,0,-2476.1929,F5
5838.2811,0,-2418.3199,F5
6005.1819,0,-2320.4535,F5
6118.2606,0,-2254.147,F5
6278.5594,0,-2179.5622,F5
6404.1891,0,-2140.7459,F5
6440.0047,0,-2204.4374,F5
6800.3582,0,-2197.1595,F5
7339.7805,0,-2222.4659,F5
7654.6333,0,-2271.594,F5
7788.9414,0,-2292.5507,F5
8603.8394,0,-2292.5507,F5
9252.9612,0,-2296.8275,F5
9544.1554,0,-2322.3019,F5
5486.1738,0,-2798.5592,F4
5771.1378,0,-2716.6049,F4
6053.3217,0,-2666.5989,F4
6313.7872,0,-2620.4415,F4
6552.3562,0,-2587.4227,F4
6734.7665,0,-2562.1764,F4
7118.4457,0,-2562.1764,F4
7634.4551,0,-2562.1764,F4
7812.5012,0,-2579.0588,F4
8104.4155,0,-2606.84,F4
8458.8829,0,-2606.84,F4
9083.4444,0,-2606.84,F4
