X,Y,Z,formation
1970.6192,0,2063.5285,Jch
1851.3202,0,1967.3143,Jch
1821.2433,0,1908.404,Jch
1821.2433,0,1836.8973,Jch
1955.9672,0,1671.3147,Jch
2167.4239,0,1556.4542,Jch
2606.6506,0,1457.5463,Jch
2717.7883,0,1448.8692,Jch
3445.7867,0,1462.1828,Jch
1672.7027,0,2059.7124,Jc
1578.1068,0,1981.944,Jc
1492.6294,0,1907.8601,Jc
1413.3851,0,1818.8727,Jc
1360.9351,0,1684.7968,Jc
1353.8544,0,1594.4615,Jc
1418.9167,0,1503.1973,Jc
1499.6089,0,1436.9536,Jc
1632.3098,0,1365.6319,Jc
1951.2499,0,1260.423,Jc
2328.7008,0,1179.9553,Jc
2929.312,0,1164.7235,Jc
3356.3863,0,1154.5822,Jc
3447.5854,0,1152.4166,Jc
1315.2224,0,2046.551,Jsch
1034.6608,0,1894.0621,Jsch
890.0653,0,1764.0011,Jsch
815.6487,0,1665.3894,Jsch
785.184,0,1574.0722,Jsch
785.184,0,1477.4256,Jsch
821.5209,0,1377.1144,Jsch
880.5108,0,1296.6386,Jsch
956.5505,0,1242.2079,Jsch
1070.5378,0,1174.987,Jsch
1149.7795,0,1124.6575,Jsch
1283.7719,0,1073.1146,Jsch
1491.2573,0,1016.6057,Jsch
1612.2589,0,987.5351,Jsch
1706.941,0,964.6003,Jsch
1903.1863,0,940.8155,Jsch
2097.784,0,913.466,Jsch
2348.0411,0,883.1174,Jsch
2705.9501,0,883.1174,Jsch
3123.5693,0,870.6291,Jsch
3320.5161,0,856.917,Jsch
3458.095,0,842.7704,Jsch
1970.6192,700,2063.5285,Jch
1851.3202,700,1967.3143,Jch
1821.2433,700,1908.404,Jch
1821.2433,700,1836.8973,Jch
1955.9672,700,1671.3147,Jch
2167.4239,700,1556.4542,Jch
2606.6506,700,1457.5463,Jch
2717.7883,700,1448.8692,Jch
3445.7867,700,1462.1828,Jch
1672.7027,700,2059.7124,Jc
1578.1068,700,1981.944,Jc
1492.6294,700,1907.8601,Jc
1413.3851,700,1818.8727,Jc
1360.9351,700,1684.7968,Jc
1353.8544,700,1594.4615,Jc
1418.9167,700,1503.1973,Jc
1499.6089,700,1436.9536,Jc
1632.3098,700,1365.6319,Jc
1951.2499,700,1260.423,Jc
2328.7008,700,1179.9553,Jc
2929.312,700,1164.7235,Jc
3356.3863,700,1154.5822,Jc
3447.5854,700,1152.4166,Jc
1315.2224,700,2046.551,Jsch
1034.6608,700,1894.0621,Jsch
890.0653,700,1764.0011,Jsch
815.6487,700,1665.3894,Jsch
785.184,700,1574.0722,Jsch
785.184,700,1477.4256,Jsch
821.5209,700,1377.1144,Jsch
880.5108,700,1296.6386,Jsch
956.5505,700,1242.2079,Jsch
1070.5378,700,1174.987,Jsch
1149.7795,700,1124.6575,Jsch
1283.7719,700,1073.1146,Jsch
1491.2573,700,1016.6057,Jsch
1612.2589,700,987.5351,Jsch
1706.941,700,964.6003,Jsch
1903.1863,700,940.8155,Jsch
2097.784,700,913.466,Jsch
2348.0411,700,883.1174,Jsch
2705.9501,700,883.1174,Jsch
3123.5693,700,870.6291,Jsch
3320.5161,700,856.917,Jsch
3458.095,700,842.7704,Jsch
