X,Y,Z,formation
1970.6192,0,63.5285,Jch
1851.3202,0,-32.6857,Jch
1821.2433,0,-91.596,Jch
1821.2433,0,-163.1027,Jch
1955.9672,0,-328.6853,Jch
2167.4239,0,-443.5458,Jch
2606.6506,0,-542.4537,Jch
2717.7883,0,-551.1308,Jch
3445.7867,0,-537.8172,Jch
1672.7027,0,59.7124,Jc
1578.1068,0,-18.056,Jc
1492.6294,0,-92.1399,Jc
1413.3851,0,-181.1273,Jc
1360.9351,0,-315.2032,Jc
1353.8544,0,-405.5385,Jc
1418.9167,0,-496.8027,Jc
1499.6089,0,-563.0464,Jc
1632.3098,0,-634.3681,Jc
1951.2499,0,-739.577,Jc
2328.7008,0,-820.0447,Jc
2929.312,0,-835.2765,Jc
3356.3863,0,-845.4178,Jc
3447.5854,0,-847.5834,Jc
1000,0,46.551,Jsch
850,0,-105.9379,Jsch
815,0,-235.9989,Jsch
815.6487,0,-334.6106,Jsch
785.184,0,-425.9278,Jsch
785.184,0,-522.5744,Jsch
821.5209,0,-622.8856,Jsch
880.5108,0,-703.3614,Jsch
956.5505,0,-757.7921,Jsch
1070.5378,0,-825.013,Jsch
1149.7795,0,-875.3425,Jsch
1283.7719,0,-926.8854,Jsch
1491.2573,0,-983.3943,Jsch
1612.2589,0,-1012.4649,Jsch
1706.941,0,-1035.3997,Jsch
1903.1863,0,-1059.1845,Jsch
2097.784,0,-1086.534,Jsch
2348.0411,0,-1116.8826,Jsch
2705.9501,0,-1116.8826,Jsch
3123.5693,0,-1129.3709,Jsch
3320.5161,0,-1143.083,Jsch
3458.095,0,-1157.2296,Jsch
1970.6192,700,63.5285,Jch
1851.3202,700,-32.6857,Jch
1821.2433,700,-91.596,Jch
1821.2433,700,-163.1027,Jch
1955.9672,700,-328.6853,Jch
2167.4239,700,-443.5458,Jch
2606.6506,700,-542.4537,Jch
2717.7883,700,-551.1308,Jch
3445.7867,700,-537.8172,Jch
1672.7027,700,59.7124,Jc
1578.1068,700,-18.056,Jc
1492.6294,700,-92.1399,Jc
1413.3851,700,-181.1273,Jc
1360.9351,700,-315.2032,Jc
1353.8544,700,-405.5385,Jc
1418.9167,700,-496.8027,Jc
1499.6089,700,-563.0464,Jc
1632.3098,700,-634.3681,Jc
1951.2499,700,-739.577,Jc
2328.7008,700,-820.0447,Jc
2929.312,700,-835.2765,Jc
3356.3863,700,-845.4178,Jc
3447.5854,700,-847.5834,Jc
1000,700,46.551,Jsch
850,700,-105.9379,Jsch
815,700,-235.9989,Jsch
815.6487,700,-334.6106,Jsch
785.184,700,-425.9278,Jsch
785.184,700,-522.5744,Jsch
821.5209,700,-622.8856,Jsch
880.5108,700,-703.3614,Jsch
956.5505,700,-757.7921,Jsch
1070.5378,700,-825.013,Jsch
1149.7795,700,-875.3425,Jsch
1283.7719,700,-926.8854,Jsch
1491.2573,700,-983.3943,Jsch
1612.2589,700,-1012.4649,Jsch
1706.941,700,-1035.3997,Jsch
1903.1863,700,-1059.1845,Jsch
2097.784,700,-1086.534,Jsch
2348.0411,700,-1116.8826,Jsch
2705.9501,700,-1116.8826,Jsch
3123.5693,700,-1129.3709,Jsch
3320.5161,700,-1143.083,Jsch
3458.095,700,-1157.2296,Jsch
