X,Y,Z,formation
1698.9678,0,-2007.8887,fault_corual
1804.7215,0,-1835.7352,fault_corual
1919.9812,0,-1605.4058,fault_corual
2023.8736,0,-1420.5997,fault_corual
2113.9514,0,-1230.4743,fault_corual
2334.6529,0,-883.4267,fault_corual
2409.2306,0,-752.5515,fault_corual
2473.7501,0,-639.3273,fault_corual
2525.401,0,-448.8228,fault_corual
2542.4671,0,-356.1685,fault_corual
2567.1388,0,-222.2215,fault_corual
2597.6186,0,-51.9758,fault_corual
2612.8354,0,33.0183,fault_corual
-464.721,0,-2002.6729,PEm
-354.2518,0,-2002.6729,PEm
-137.8225,0,-2002.6729,PEm
130.4595,0,-2002.6729,PEm
362.6701,0,-2002.6729,PEm
594.8807,0,-2002.6729,PEm
840.6182,0,-2002.6729,PEm
1093.1191,0,-2002.6729,PEm
1347.8743,0,-2002.6729,PEm
1672.2198,0,-2002.6729,PEm
1745.7065,0,-2002.9159,PEm
9052.9316,0,-2002.9159,PEm
1952.0604,0,-1737.1343,PTc
2944.2696,0,-1604.1427,PTc
4040.5484,0,-1401.9569,PTc
5027.0557,0,-1141.9508,PTc
5831.0203,0,-866.4219,PTc
6117.54,0,-751.4306,PTc
6307.7695,0,-616.9888,PTc
6569.1417,0,-538.1781,PTc
6788.8653,0,-494.6199,PTc
7142.3071,0,-471.1807,PTc
7280.8864,0,-471.1807,PTc
7594.727,0,-471.1807,PTc
7982.0563,0,-494.2181,PTc
8203.4546,0,-494.2181,PTc
2541.3916,0,-656.7373,TJg
2921.3947,0,-590.4934,TJg
3514.8465,0,-482.2414,TJg
3902.4171,0,-411.5442,TJg
4288.5458,0,-341.3156,TJg
4856.6128,0,-141.8449,TJg
5202.5326,0,-27.9889,TJg
5521.2122,0,76.9013,TJg
