X,Y,Z,formation
1698.9678,0,-2007.8887,fault_corual
1804.7215,0,-1835.7352,fault_corual
1919.9812,0,-1605.4058,fault_corual
2023.8736,0,-1420.5997,fault_corual
2113.9514,0,-1230.4743,fault_corual
2334.6529,0,-883.4267,fault_corual
2409.2306,0,-752.5515,fault_corual
2473.7501,0,-639.3273,fault_corual
2525.401,0,-448.8228,fault_corual
2542.4671,0,-356.1685,fault_corual
2567.1388,0,-222.2215,fault_corual
2597.6186,0,-51.9758,fault_corual
2612.8354,0,33.0183,fault_corual
1698.9678,1000,-2007.8887,fault_corual
1804.7215,1000,-1835.7352,fault_corual
1919.9812,1000,-1605.4058,fault_corual
2023.8736,1000,-1420.5997,fault_corual
2113.9514,1000,-1230.4743,fault_corual
2334.6529,1000,-883.4267,fault_corual
2409.2306,1000,-752.5515,fault_corual
2473.7501,1000,-639.3273,fault_corual
2525.401,1000,-448.8228,fault_corual
2542.4671,1000,-356.1685,fault_corual
2567.1388,1000,-222.2215,fault_corual
2597.6186,1000,-51.9758,fault_corual
2612.8354,1000,33.0183,fault_corual
2541.3916,0,-656.7373,TJg
2921.3947,0,-590.4934,TJg
3514.8465,0,-482.2414,TJg
3902.4171,0,-411.5442,TJg
4288.5458,0,-341.3156,TJg
4856.6128,0,-141.8449,TJg
5202.5326,0,-27.9889,TJg
5521.2122,0,76.9013,TJg
2541.3916,1000,-656.7373,TJg
2921.3947,1000,-590.4934,TJg
3514.8465,1000,-482.2414,TJg
3902.4171,1000,-411.5442,TJg
4288.5458,1000,-341.3156,TJg
4856.6128,1000,-141.8449,TJg
5202.5326,1000,-27.9889,TJg
5521.2122,1000,76.9013,TJg
1952.0604,0,-1737.1343,PTc
2944.2696,0,-1604.1427,PTc
4040.5484,0,-1401.9569,PTc
5027.0557,0,-1141.9508,PTc
5831.0203,0,-866.4219,PTc
6117.54,0,-751.4306,PTc
6307.7695,0,-616.9888,PTc
6569.1417,0,-538.1781,PTc
6788.8653,0,-494.6199,PTc
7142.3071,0,-471.1807,PTc
7280.8864,0,-471.1807,PTc
7594.727,0,-471.1807,PTc
7982.0563,0,-494.2181,PTc
8203.4546,0,-494.2181,PTc
1952.0604,1000,-1737.1343,PTc
2944.2696,1000,-1604.1427,PTc
4040.5484,1000,-1401.9569,PTc
5027.0557,1000,-1141.9508,PTc
5831.0203,1000,-866.4219,PTc
6117.54,1000,-751.4306,PTc
6307.7695,1000,-616.9888,PTc
6569.1417,1000,-538.1781,PTc
6788.8653,1000,-494.6199,PTc
7142.3071,1000,-471.1807,PTc
7280.8864,1000,-471.1807,PTc
7594.727,1000,-471.1807,PTc
7982.0563,1000,-494.2181,PTc
8203.4546,1000,-494.2181,PTc
