X,Y,Z,formation
120.2209,1000,-2103.3985,S6
647.7418,1000,-2103.3985,S6
1304.6543,1000,-2103.3985,S6
1946.3149,1000,-2164.1427,S6
2494.4131,1000,-2201.1117,S6
2987.0883,1000,-2201.1117,S6
3626.8313,1000,-2201.1117,S6
4332.7541,1000,-2201.1117,S6
5452.79,1000,-2155.8222,S6
6366.4197,1000,-2118.879,S6
7126.1524,1000,-2088.1586,S6
8119.0314,1000,-2015.2501,S6
9137.4824,1000,-1975.6464,S6
9997.0291,1000,-1975.6464,S6
10838.1158,1000,-1975.6464,S6
11769.0863,1000,-1975.6464,S6
12599.0785,1000,-1975.6464,S6
13189.3191,1000,-1975.6464,S6
14319.7829,1000,-1975.6464,S6
16248.9283,1000,-1921.1322,S6
17196.9524,1000,-1894.3428,S6
18322.2655,1000,-1862.5435,S6
19781.9503,1000,-1827.2136,S6
20584.3063,1000,-1827.2136,S6
21914.1585,1000,-1775.2791,S6
24179.3019,1000,-1646.3643,S6
25170.5892,1000,-1591.1476,S6
25913.7804,1000,-1591.1476,S6
26349.3065,1000,-1531.2514,S6
27698.1948,1000,-1531.2514,S6
28695.767,1000,-1531.2514,S6
29468.0809,1000,-1531.2514,S6
29896.9546,1000,-1481.002,S6
92.2581,1000,-3080.533,S5
1060.9439,1000,-3080.533,S5
2584.7944,1000,-3214.7024,S5
4015.3436,1000,-3214.7024,S5
6657.0363,1000,-3214.7024,S5
8255.6254,1000,-3059.7968,S5
8891.0137,1000,-3059.7968,S5
10329.5131,1000,-3118.4056,S5
11918.9314,1000,-3118.4056,S5
12647.4878,1000,-3081.2287,S5
14326.5665,1000,-3046.6496,S5
14871.6541,1000,-3046.6496,S5
16072.2194,1000,-3001.2948,S5
16558.8096,1000,-3001.2948,S5
17167.7125,1000,-3001.2948,S5
17752.9062,1000,-3001.2948,S5
19112.2279,1000,-3001.2948,S5
20211.7262,1000,-3001.2948,S5
22241.345,1000,-2957.3665,S5
24563.751,1000,-2845.4385,S5
25480.7829,1000,-2791.6382,S5
26454.9179,1000,-2791.6382,S5
27983.3943,1000,-2727.096,S5
28636.6119,1000,-2689.1533,S5
29438.5238,1000,-2689.1533,S5
29863.6989,1000,-2689.1533,S5
76.1563,1000,-4533.1609,S4
1053.9715,1000,-4533.1609,S4
1902.2177,1000,-4455.4692,S4
2821.1354,1000,-4371.3047,S4
3510.221,1000,-4371.3047,S4
4572.0458,1000,-4396.7669,S4
5454.8438,1000,-4396.7669,S4
6190.8329,1000,-4342.9734,S4
6784.8159,1000,-4342.9734,S4
8032.5909,1000,-4342.9734,S4
9034.4602,1000,-4375.8736,S4
9877.8125,1000,-4375.8736,S4
11165.7467,1000,-4403.6112,S4
11702.5829,1000,-4465.9132,S4
13276.2628,1000,-4465.9132,S4
14007.9961,1000,-4465.9132,S4
14946.5932,1000,-4412.3416,S4
16016.2934,1000,-4375.8872,S4
16669.1555,1000,-4344.736,S4
17889.2342,1000,-4344.736,S4
18247.7023,1000,-4303.1195,S4
19595.98,1000,-4303.1195,S4
20798.802,1000,-4268.5459,S4
21320.0522,1000,-4223.5499,S4
22864.6835,1000,-4090.2122,S4
24317.0371,1000,-3964.8402,S4
26036.7925,1000,-3824.9185,S4
27944.7158,1000,-3738.5039,S4
29004.2498,1000,-3690.515,S4
29446.2995,1000,-3638.6152,S4
29936.9864,1000,-3638.6152,S4
113.499,1000,-5115.8851,S3
419.4512,1000,-5159.5109,S3
787.1156,1000,-5099.697,S3
1265.934,1000,-5019.9454,S3
1636.4482,1000,-5019.9454,S3
2568.4341,1000,-5019.9454,S3
2857.28,1000,-4974.3545,S3
3452.953,1000,-5017.0785,S3
4716.8248,1000,-5017.0785,S3
6190.3312,1000,-5017.0785,S3
6642.2214,1000,-5017.0785,S3
7967.5222,1000,-4934.2093,S3
9114.4859,1000,-4934.2093,S3
10206.0778,1000,-4994.0417,S3
10495.1776,1000,-4994.0417,S3
10996.797,1000,-4928.6437,S3
11618.121,1000,-4997.0025,S3
12405.6784,1000,-4997.0025,S3
13685.3779,1000,-4997.0025,S3
14701.9618,1000,-4997.0025,S3
15958.8599,1000,-4899.9515,S3
17091.8814,1000,-4812.4656,S3
17764.4393,1000,-4812.4656,S3
19216.1355,1000,-4812.4656,S3
19814.6588,1000,-4757.4816,S3
20444.5328,1000,-4805.9024,S3
22144.8839,1000,-4805.9024,S3
23521.2166,1000,-4739.5648,S3
24091.1001,1000,-4739.5648,S3
25131.706,1000,-4739.5648,S3
26249.0048,1000,-4639.1353,S3
27405.9829,1000,-4586.9878,S3
29012.1836,1000,-4514.5928,S3
29714.7504,1000,-4482.9265,S3
29939.8137,1000,-4482.9265,S3
834.479,1000,-5309.3569,S2
1287.8416,1000,-5224.6364,S2
1809.393,1000,-5255.946,S2
2435.9915,1000,-5366.4512,S2
3162.997,1000,-5734.5648,S2
3770.7766,1000,-5978.2587,S2
4352.6932,1000,-6113.0286,S2
5083.673,1000,-6174.5055,S2
6120.0389,1000,-6174.5055,S2
6878.4711,1000,-6076.6925,S2
