X,Y,Z,formation
1611.5072,0,2016.597,Ni
1709.0076,0,1978.7352,Ni
1854.8696,0,1951.4669,Ni
2030.8474,0,1918.5686,Ni
2251.0499,0,1867.7816,Ni
2830.8869,0,1882.083,Ni
3028.7491,0,1910.4612,Ni
3231.3447,0,1964.3799,Ni
3328.5211,0,1991.8037,Ni
3353.9767,0,2013.7387,Ni
1611.5072,700,2016.597,Ni
1709.0076,700,1978.7352,Ni
1854.8696,700,1951.4669,Ni
2030.8474,700,1918.5686,Ni
2251.0499,700,1867.7816,Ni
2830.8869,700,1882.083,Ni
3028.7491,700,1910.4612,Ni
3231.3447,700,1964.3799,Ni
3328.5211,700,1991.8037,Ni
3353.9767,700,2013.7387,Ni
513.2041,0,2036.6526,Eu
721.1804,0,1890.3025,Eu
860.1265,0,1849.183,Eu
1670.2299,0,1746.5432,Eu
2736.954,0,1670.7057,Eu
2962.3158,0,1659.0554,Eu
3338.1501,0,1681.8684,Eu
3519.3976,0,1701.4159,Eu
3867.5975,0,1726.782,Eu
513.2041,700,2036.6526,Eu
721.1804,700,1890.3025,Eu
860.1265,700,1849.183,Eu
1670.2299,700,1746.5432,Eu
2736.954,700,1670.7057,Eu
2962.3158,700,1659.0554,Eu
3338.1501,700,1681.8684,Eu
3519.3976,700,1701.4159,Eu
3867.5975,700,1726.782,Eu
10.3665,0,1754.2688,Es
207.8927,0,1694.2008,Es
517.0645,0,1550.0375,Es
629.7385,0,1492.621,Es
820.291,0,1400.1092,Es
980.681,0,1372.4924,Es
1139.6636,0,1353.248,Es
1287.2981,0,1330.7495,Es
1518.8194,0,1322.031,Es
1994.4027,0,1314.8824,Es
2698.1117,0,1300.656,Es
4324.6535,0,1260.0888,Es
10.3665,700,1754.2688,Es
207.8927,700,1694.2008,Es
517.0645,700,1550.0375,Es
629.7385,700,1492.621,Es
820.291,700,1400.1092,Es
980.681,700,1372.4924,Es
1139.6636,700,1353.248,Es
1287.2981,700,1330.7495,Es
1518.8194,700,1322.031,Es
1994.4027,700,1314.8824,Es
2698.1117,700,1300.656,Es
4324.6535,700,1260.0888,Es
