X,Y,Z,formation
8451.7178,0,-31.0543,oca_fault
8514.265,0,-1185.8691,oca_fault
8562.0576,0,-1999.9524,oca_fault
9757.3513,0,5.3829,oca_fault2
9897.8059,0,-1087.9166,oca_fault2
10043.0667,0,-1994.4836,oca_fault2
384.7329,0,32.5496,Qal
6468.3099,0,16.7756,Qal
6601.8871,0,7.3254,Qal
6793.1098,0,-0.4749,Qal
7018.9989,0,-9.6892,Qal
7274.6123,0,-17.6575,Qal
7666.6683,0,-17.6575,Qal
8078.5191,0,-30.2311,Qal
8299.8104,0,-30.2311,Qal
8566.1079,0,-30.2311,Qal
8919.5011,0,-30.2311,Qal
9206.0794,0,-18.6974,Qal
9423.0919,0,-13.6055,Qal
9574.7846,0,-2.6747,Qal
9708.5352,0,5.907,Qal
10214.6985,0,29.053,Qal
1152.8062,0,7.2732,Qal
1197.094,0,-29.8613,Qal
1388.6811,0,-29.8613,Qal
1409.3319,0,9.5871,Qal
372.3176,0,4.2383,Qal
426.2303,0,-30.2855,Qal
504.2461,0,-30.2855,Qal
621.4104,0,-30.2855,Qal
746.661,0,-30.2855,Qal
876.287,0,-30.2855,Qal
969.7386,0,-30.2855,Qal
1018.0364,0,7.0005,Qal
-3.0934,0,-622.0156,N1m
355.8404,0,-622.0156,N1m
1519.2329,0,-622.0156,N1m
2588.1616,0,-579.5962,N1m
3475.2328,0,-544.3936,N1m
4243.843,0,-513.892,N1m
6453.0624,0,-433.1844,N1m
8036.0049,0,-375.3561,N1m
8647.6244,0,-321.8409,N1m
9796.2156,0,-242.0305,N1m
1.857,0,-1998.1382,PEm
9000.4946,0,-1998.1382,PEm
9757.3513,0,5.3829,PEm
10213.1592,0,25.9571,PEm
10589.4036,0,25.9571,PEm
11062.6488,0,25.9571,PEm
11330.4946,0,25.9571,PEm

