X,Y,Z,formation
964.0092,0,1542.2032,Kp
1382.7197,0,1593.7985,Kp
3941.4626,0,1629.8149,Kp
4566.7535,0,1725.9747,Kp
50.9732,0,1421.1618,Jsc
416.628,0,1464.7485,Jsc
871.1956,0,1518.9318,Jsc
1492.3948,0,1296.9015,Jsc
2179.9336,0,1396.1322,Jsc
2772.2628,0,1470.2028,Jsc
3123.8334,0,1511.0245,Jsc
3587.3756,0,1601.2827,Jsc
3837.2851,0,1644.7355,Jsc
4344.2111,0,1037.03,Jsc
4554.9135,0,1095.3621,Jsc
56.16,0,531.2857,Jsch
682.4676,0,620.4149,Jsch
1077.1456,0,668.9163,Jsch
1339.6953,0,721.9904,Jsch
1443.5121,0,409.8868,Jsch
2308.8205,0,516.4187,Jsch
3102.7055,0,624.8666,Jsch
3651.213,0,769.8889,Jsch
4239.5893,0,1025.2187,Jsch
56.4168,0,-177.846,Jc
632.9036,0,-131.838,Jc
1225.7157,0,-84.527,Jc
1498.7162,0,-271.05,Jc
2867.1836,0,-68.3416,Jc
3804.0856,0,141.7378,Jc
4523.3608,0,443.9575,Jc
1449.84,0,2153.5601,fault_1
1431.3044,0,1851.9211,fault_1
1410.9798,0,1416.6258,fault_1
1388.3752,0,842.2952,fault_1
1320.3212,0,202.1939,fault_1
1249.3464,0,-448.7015,fault_1
205.6926,0,2132.8377,fault_2
801.4848,0,1620.2099,fault_2
1373.3714,0,1214.1499,fault_2
3619.4798,0,2146.6187,fault_3
3776.4391,0,1840.6254,fault_3
4391.3107,0,886.5216,fault_3
4561.6126,0,637.5616,fault_3
