X,Y,Z,formation
53.036,0,270.2919,PEm
540.4838,0,425.1931,PEm
1105.5476,0,604.7591,PEm
1261.2203,0,621.8799,PEm
3389.7249,0,621.8799,PEm
3807.3117,0,817.6837,PEm
6123.4995,0,717.8366,PEm
6375.8996,0,1061.7797,PEm
7223.2184,0,1011.5557,PEm
103.2185,0,938.814,PTc
1485.11,0,1449.0997,PTc
1881.7368,0,1521.4843,PTc
3224.8256,0,1521.4843,PTc
3661.7371,0,1644.1559,PTc
5760.8502,0,1537.254,PTc
6144.4712,0,1820.817,PTc
7225.0995,0,1784.2516,PTc
3300.1202,0,1603.9475,fault_1
3821.5103,0,603.5375,fault_1
5987.8332,0,1662.2068,fault_2
6459.1481,0,720.3397,fault_2
