X,Y,Z,formation
90.3584,0,-2552.4369,Qm
213.9932,0,-2591.6064,Qm
393.4141,0,-2624.7499,Qm
578.9805,0,-2659.0286,Qm
774.8726,0,-2698.5694,Qm
937.7087,0,-2698.5694,Qm
1065.084,0,-2698.5694,Qm
301.5235,0,-1845.8429,Qm
322.3163,0,-1729.0567,Qm
435.3965,0,-1647.7046,Qm
532.0159,0,-1578.1947,Qm
693.5556,0,-1493.5342,Qm
806.6358,0,-1403.1429,Qm
922.7321,0,-1369.9995,Qm
1025.2586,0,-1369.9995,Qm
1147.3855,0,-1369.9995,Qm
1338.8684,0,-1419.7147,Qm
1511.2234,0,-1496.6937,Qm
1666.6334,0,-1566.1044,Qm
1833.4913,0,-1640.6283,Qm
2032.3763,0,-1729.4563,Qm
2148.9978,0,-1810.0499,Qm
2277.1557,0,-1924.5454,Qm
2454.1315,0,-2042.75,Qm
2574.0703,0,-2122.8587,Qm
2708.9395,0,-2193.4021,Qm
2850.5394,0,-2267.4661,Qm
3014.7398,0,-2353.3512,Qm
3127.6588,0,-2412.4135,Qm
3343.6986,0,-2476.6278,Qm
3543.2657,0,-2535.9458,Qm
3761.9739,0,-2606.6157,Qm
3978.8386,0,-2676.69,Qm
4134.3861,0,-2721.1113,Qm
4270.9954,0,-2760.1243,Qm
4435.9339,0,-2760.1243,Qm
4672.6493,0,-2760.1243,Qm
4770.6526,0,-2700.0199,Qm
4881.6959,0,-2631.9183,Qm
3628.2663,0,-1478.934,Qm
3681.5821,0,-1439.2697,Qm
3762.6666,0,-1378.9469,Qm
3892.4191,0,-1345.3035,Qm
3991.1643,0,-1319.7,Qm
4124.492,0,-1319.7,Qm
4285.2743,0,-1319.7,Qm
4545.6845,0,-1334.2489,Qm
4777.5244,0,-1372.9838,Qm
4994.8589,0,-1440.2725,Qm
5250.4572,0,-1496.8562,Qm
5417.9721,0,-1575.021,Qm
5604.6963,0,-1683.6005,Qm
5825.0924,0,-1783.0042,Qm
5999.5725,0,-1891.5837,Qm
6170.7256,0,-1998.0927,Qm
6384.1552,0,-2092.3418,Qm
6576.9152,0,-2177.4633,Qm
6803.8217,0,-2284.0363,Qm
6989.0156,0,-2398.7329,Qm
7155.8432,0,-2518.0173,Qm
7293.7329,0,-2616.6107,Qm
7414.5021,0,-2670.9461,Qm
7566.5229,0,-2739.342,Qm
7683.8747,0,-2759.6449,Qm
7802.8051,0,-2759.6449,Qm
7090.0047,0,-2033.2955,Qm
7134.3583,0,-1940.871,Qm
7308.838,0,-1849.1138,Qm
7480.2571,0,-1849.1138,Qm
7723.6109,0,-1849.1138,Qm
7882.7859,0,-1878.1702,Qm
8110.8341,0,-1954.6345,Qm
8357.2159,0,-2037.2461,Qm
8619.48,0,-2099.6048,Qm
8834.5618,0,-2150.7449,Qm
62.2792,0,-3367.4284,N2b
220.3497,0,-3414.3176,N2b
431.306,0,-3476.8946,N2b
631.4206,0,-3536.2555,N2b
835.3965,0,-3596.7619,N2b
1158.895,0,-3651.2318,N2b
1514.0199,0,-3711.0269,N2b
1880.0925,0,-3754.8817,N2b
2190.2858,0,-3792.0423,N2b
2529.5708,0,-3832.6881,N2b
714.8443,0,-2319.8382,N2b
889.7533,0,-2219.1854,N2b
1087.342,0,-2179.6997,N2b
1284.9304,0,-2179.6997,N2b
1625.7704,0,-2226.5891,N2b
1882.094,0,-2340.6257,N2b
2048.3354,0,-2458.6081,N2b
2195.2829,0,-2562.8975,N2b
2386.0216,0,-2698.2657,N2b
2559.4887,0,-2814.1076,N2b
2773.3332,0,-2977.5045,N2b
2973.7548,0,-3036.4957,N2b
3171.0695,0,-3129.6397,N2b
3446.0668,0,-3202.6025,N2b
3694.6523,0,-3239.8601,N2b
3995.7782,0,-3289.7558,N2b
4231.5102,0,-3328.8159,N2b
4586.5952,0,-3353.7872,N2b
5007.1608,0,-3383.3634,N2b
5353.747,0,-3416.2439,N2b
5540.8491,0,-3433.9942,N2b
5725.2929,0,-3433.9942,N2b
5836.8073,0,-3426.1653,N2b
3892.2601,0,-1759.8917,N2b
3978.2696,0,-1676.0507,N2b
4068.9791,0,-1623.5771,N2b
4168.3666,0,-1596.7065,N2b
4296.0611,0,-1596.7065,N2b
4484.4099,0,-1663.6917,N2b
4683.4036,0,-1734.4626,N2b
4900.6532,0,-1811.7262,N2b
5038.7296,0,-1893.6078,N2b
5248.7927,0,-2018.1787,N2b
5457.7616,0,-2142.1007,N2b
5654.3097,0,-2258.657,N2b
5831.0036,0,-2377.4143,N2b
6039.2455,0,-2517.3752,N2b
6201.2595,0,-2626.266,N2b
6420.1516,0,-2773.3851,N2b
