X,Y,Z,formation
15.31,0.00,-21.06,N1N2am
60.24,0.00,-62.53,N1N2am
114.26,0.00,-113.67,N1N2am
179.67,0.00,-175.59,N1N2am
250.17,0.00,-235.83,N1N2am
331.38,0.00,-305.23,N1N2am
415.79,0.00,-352.03,N1N2am
520.42,0.00,-407.71,N1N2am
626.76,0.00,-436.69,N1N2am
764.94,0.00,-484.98,N1N2am
861.04,0.00,-503.16,N1N2am
1010.87,0.00,-503.16,N1N2am
1126.88,0.00,-503.16,N1N2am
1222.98,0.00,-452.87,N1N2am
1362.30,0.00,-406.28,N1N2am
1495.63,0.00,-353.78,N1N2am
1619.60,0.00,-321.39,N1N2am
1753.23,0.00,-302.07,N1N2am
1868.10,0.00,-302.07,N1N2am
2055.45,0.00,-302.07,N1N2am
2224.34,0.00,-302.07,N1N2am
2353.99,0.00,-357.08,N1N2am
2439.51,0.00,-406.69,N1N2am
2548.36,0.00,-459.93,N1N2am
2683.56,0.00,-505.15,N1N2am
2815.90,0.00,-568.12,N1N2am
2947.88,0.00,-613.58,N1N2am
3050.43,0.00,-649.64,N1N2am
3178.19,0.00,-688.00,N1N2am
3324.47,0.00,-750.56,N1N2am
3484.30,0.00,-779.75,N1N2am
3637.27,0.00,-815.81,N1N2am
3780.07,0.00,-849.48,N1N2am
3923.38,0.00,-861.12,N1N2am
4123.89,0.00,-861.12,N1N2am
6270.51,0.00,-194.65,N1N2am
6416.34,0.00,-194.65,N1N2am
6587.05,0.00,-194.65,N1N2am
6791.00,0.00,-194.65,N1N2am
6898.39,0.00,-239.89,N1N2am
7033.60,0.00,-278.24,N1N2am
7134.42,0.00,-328.04,N1N2am
7237.73,0.00,-401.02,N1N2am
7355.17,0.00,-460.55,N1N2am
7477.77,0.00,-518.36,N1N2am
7618.70,0.00,-575.03,N1N2am
7790.57,0.00,-612.24,N1N2am
7975.42,0.00,-641.05,N1N2am
8120.93,0.00,-653.07,N1N2am
8238.87,0.00,-653.07,N1N2am
8418.26,0.00,-653.07,N1N2am
8551.17,0.00,-613.57,N1N2am
8697.07,0.00,-556.31,N1N2am
8850.03,0.00,-489.34,N1N2am
8954.30,0.00,-416.07,N1N2am
9106.23,0.00,-333.85,N1N2am
9258.01,0.00,-251.71,N1N2am
7.06,0.00,-896.56,N1pacv
101.95,0.00,-944.27,N1pacv
202.29,0.00,-1004.80,N1pacv
295.85,0.00,-1061.24,N1pacv
414.74,0.00,-1120.48,N1pacv
562.14,0.00,-1177.72,N1pacv
702.65,0.00,-1207.07,N1pacv
867.95,0.00,-1236.29,N1pacv
1055.94,0.00,-1246.43,N1pacv
1187.23,0.00,-1224.96,N1pacv
1307.18,0.00,-1158.77,N1pacv
1447.21,0.00,-1097.22,N1pacv
1592.23,0.00,-1050.12,N1pacv
1742.01,0.00,-1039.38,N1pacv
1946.11,0.00,-1030.44,N1pacv
2099.85,0.00,-1044.10,N1pacv
2271.12,0.00,-1106.71,N1pacv
2401.81,0.00,-1202.71,N1pacv
2486.05,0.00,-1272.01,N1pacv
2614.47,0.00,-1355.18,N1pacv
2720.10,0.00,-1410.63,N1pacv
2853.18,0.00,-1467.28,N1pacv
2970.19,0.00,-1517.08,N1pacv
3121.39,0.00,-1564.73,N1pacv
3264.62,0.00,-1607.06,N1pacv
3360.70,0.00,-1617.80,N1pacv
3562.40,0.00,-1617.80,N1pacv
3766.16,0.00,-1617.80,N1pacv
3976.82,0.00,-1617.80,N1pacv
4154.65,0.00,-1617.80,N1pacv
4341.14,0.00,-1585.60,N1pacv
4496.90,0.00,-1554.60,N1pacv
4682.72,0.00,-1542.00,N1pacv
4858.17,0.00,-1488.94,N1pacv
5000.20,0.00,-1453.16,N1pacv
5153.49,0.00,-1399.86,N1pacv
5565.77,0.00,-1214.17,N1pacv
5692.09,0.00,-1155.98,N1pacv
5846.04,0.00,-1114.69,N1pacv
6002.17,0.00,-1060.67,N1pacv
6171.09,0.00,-1029.54,N1pacv
6375.34,0.00,-997.23,N1pacv
6487.35,0.00,-997.23,N1pacv
6817.78,0.00,-1076.50,N1pacv
6957.35,0.00,-1143.23,N1pacv
7077.74,0.00,-1187.52,N1pacv
7226.52,0.00,-1287.73,N1pacv
7492.65,0.00,-1499.93,N1pacv
7640.60,0.00,-1566.96,N1pacv
7851.45,0.00,-1631.59,N1pacv
8015.57,0.00,-1659.13,N1pacv
8212.93,0.00,-1659.13,N1pacv
8305.77,0.00,-1659.13,N1pacv
8430.36,0.00,-1609.56,N1pacv
8558.55,0.00,-1544.32,N1pacv
8708.02,0.00,-1481.31,N1pacv
8812.85,0.00,-1407.10,N1pacv
8919.47,0.00,-1315.53,N1pacv
9008.86,0.00,-1253.52,N1pacv
9115.48,0.00,-1164.95,N1pacv
9204.41,0.00,-1091.07,N1pacv
9307.16,0.00,-1030.28,N1pacv
9561.60,0.00,-886.68,N1pacv
9711.12,0.00,-827.90,N1pacv
9880.24,0.00,-827.90,N1pacv
8.85,0.00,-1738.26,E3N1f
123.31,0.00,-1820.24,E3N1f
266.13,0.00,-1880.45,E3N1f
447.39,0.00,-1923.48,E3N1f
615.64,0.00,-1963.42,E3N1f
753.57,0.00,-1977.64,E3N1f
924.55,0.00,-1977.64,E3N1f
1125.09,0.00,-1928.83,E3N1f
1276.78,0.00,-1884.52,E3N1f
1435.28,0.00,-1822.69,E3N1f
1554.19,0.00,-1768.10,E3N1f
1748.95,0.00,-1758.47,E3N1f
1961.06,0.00,-1772.60,E3N1f
2118.31,0.00,-1818.43,E3N1f
2278.30,0.00,-1883.54,E3N1f
2455.72,0.00,-1942.85,E3N1f
2617.74,0.00,-1997.00,E3N1f
2814.68,0.00,-2036.49,E3N1f
