X,Y,Z,formation
0.2083,1000,-2.8796,NgQs
213.8274,1000,-11.4634,NgQs
524.937,1000,-11.4634,NgQs
849.4276,1000,-55.7965,NgQs
1197.6626,1000,-103.3737,NgQs
1540.2092,1000,-150.1737,NgQs
1965.4613,1000,-208.2733,NgQs
2351.3973,1000,-261.0014,NgQs
2711.3062,1000,-287.693,NgQs
3047.1469,1000,-312.5997,NgQs
3299.7023,1000,-331.3298,NgQs
3540.9318,1000,-372.9491,NgQs
3695.8998,1000,-399.6857,NgQs
3838.1824,1000,-399.6857,NgQs
4046.5446,1000,-399.6857,NgQs
4372.4689,1000,-399.6857,NgQs
4631.9659,1000,-399.6857,NgQs
4925.8712,1000,-437.9873,NgQs
5074.4965,1000,-437.9873,NgQs
5251.7956,1000,-437.9873,NgQs
5358.844,1000,-424.1027,NgQs
5464.1172,1000,-410.4484,NgQs
0.2083,0,-2.8796,NgQs
213.8274,0,-11.4634,NgQs
524.937,0,-11.4634,NgQs
849.4276,0,-55.7965,NgQs
1197.6626,0,-103.3737,NgQs
1540.2092,0,-150.1737,NgQs
1965.4613,0,-208.2733,NgQs
2351.3973,0,-261.0014,NgQs
2711.3062,0,-287.693,NgQs
3047.1469,0,-312.5997,NgQs
3299.7023,0,-331.3298,NgQs
3540.9318,0,-372.9491,NgQs
3695.8998,0,-399.6857,NgQs
3838.1824,0,-399.6857,NgQs
4046.5446,0,-399.6857,NgQs
4372.4689,0,-399.6857,NgQs
4631.9659,0,-399.6857,NgQs
4925.8712,0,-437.9873,NgQs
5074.4965,0,-437.9873,NgQs
5251.7956,0,-437.9873,NgQs
5358.844,0,-424.1027,NgQs
5464.1172,0,-410.4484,NgQs
0.2083,2000,-2.8796,NgQs
213.8274,2000,-11.4634,NgQs
524.937,2000,-11.4634,NgQs
849.4276,2000,-55.7965,NgQs
1197.6626,2000,-103.3737,NgQs
1540.2092,2000,-150.1737,NgQs
1965.4613,2000,-208.2733,NgQs
2351.3973,2000,-261.0014,NgQs
2711.3062,2000,-287.693,NgQs
3047.1469,2000,-312.5997,NgQs
3299.7023,2000,-331.3298,NgQs
3540.9318,2000,-372.9491,NgQs
3695.8998,2000,-399.6857,NgQs
3838.1824,2000,-399.6857,NgQs
4046.5446,2000,-399.6857,NgQs
4372.4689,2000,-399.6857,NgQs
4631.9659,2000,-399.6857,NgQs
