X,Y,Z,formation
34.7843,0,-374.8623,FallaMontesanto
231.1641,0,-543.8279,FallaMontesanto
393.723,0,-639.7568,FallaMontesanto
535.8455,0,-723.6258,FallaMontesanto
705.4563,0,-823.7161,FallaMontesanto
932.9053,0,-917.1484,FallaMontesanto
1193.9847,0,-1053.636,FallaMontesanto
1461.3108,0,-1193.3892,FallaMontesanto
1763.4864,0,-1319.6206,FallaMontesanto
1931.635,0,-1397.6591,FallaMontesanto
2105.7491,0,-1497.2272,FallaMontesanto
2256.8668,0,-1563.9706,FallaMontesanto
2436.4562,0,-1662.4445,FallaMontesanto
2627.0961,0,-1766.9776,FallaMontesanto
2838.7056,0,-1866.4475,FallaMontesanto
3028.504,0,-1983.8277,FallaMontesanto
3210.2833,0,-2064.7952,FallaMontesanto
3359.2112,0,-2154.5159,FallaMontesanto
3533.3253,0,-2201.5645,FallaMontesanto
3715.0217,0,-2250.662,FallaMontesanto
3927.2046,0,-2330.5243,FallaMontesanto
4548.0405,0,-2567.5077,FallaMontesanto
5037.831,0,-2754.4689,FallaMontesanto
5409.3282,0,-2896.2755,FallaMontesanto
5774.2637,0,-2999.6732,FallaMontesanto
6055.6241,0,-3094.6583,FallaMontesanto
6243.2312,0,-3157.993,FallaMontesanto
6498.9794,0,-3244.3316,FallaMontesanto
6735.2909,0,-3324.1085,FallaMontesanto
6896.5636,0,-3412.8317,FallaMontesanto
7062.3892,0,-3475.9513,FallaMontesanto
7371.479,0,-3563.8679,FallaMontesanto
10280.534,0,-2404.259,Falla2
9872.1532,0,-2598.2173,Falla2
9656.4471,0,-2671.5178,Falla2
9378.3409,0,-2805.8634,Falla2
9030.923,0,-2973.6917,Falla2
8848.8484,0,-3061.647,Falla2
8670.0301,0,-3122.0544,Falla2
8479.3322,0,-3186.475,Falla2
8273.5564,0,-3288.551,Falla2
8005.7933,0,-3398.7833,Falla2
13.8996,0,-418.8667,N2z
85.9283,0,-418.8667,N2z
231.1641,0,-543.8279,N2z
382.4202,0,-505.2983,N2z
586.9529,0,-486.8889,N2z
983.2593,0,-469.2663,N2z
1317.2342,0,-421.5944,N2z
1711.7882,0,-365.2754,N2z
1942.4372,0,-365.2754,N2z
2672.5276,0,-348.0529,N2z
3414.1206,0,-375.9464,N2z
4132.2075,0,-375.9464,N2z
4541.2368,0,-333.4354,N2z
4841.9716,0,-316.5349,N2z
5518.5491,0,-316.5349,N2z
5943.5232,0,-284.7215,N2z
6649.5927,0,-259.0186,N2z
7328.2517,0,-234.3135,N2z
7981.5939,0,-187.867,N2z
8523.3098,0,-149.3561,N2z
9088.5808,0,-109.1706,N2z
9328.1188,0,-73.9212,N2z
9740.846,0,-50.6705,N2z
59.5774,0,-798.5425,N1jm
413.7663,0,-798.5425,N1jm
662.7977,0,-798.5425,N1jm
1193.9847,0,-1053.636,N1jm
1654.3288,0,-1028.5771,N1jm
2185.2344,0,-999.6773,N1jm
2717.0511,0,-970.7278,N1jm
3318.7264,0,-937.9756,N1jm
3844.3092,0,-909.3654,N1jm
4169.0971,0,-891.6856,N1jm
4491.9363,0,-891.6856,N1jm
4940.4892,0,-891.6856,N1jm
5423.9442,0,-891.6856,N1jm
5844.0588,0,-845.0287,N1jm
6478.8749,0,-827.93,N1jm
7135.5967,0,-827.93,N1jm
7674.8928,0,-790.4166,N1jm
8099.0825,0,-760.9101,N1jm
8411.7131,0,-739.1635,N1jm
8754.3508,0,-678.6858,N1jm
9094.9317,0,-618.571,N1jm
9373.8622,0,-569.338,N1jm
9821.0028,0,-560.4324,N1jm
70.7272,0,-2789.9189,N1r
356.3893,0,-2808.9477,N1r
727.5176,0,-2835.5567,N1r
1117.8809,0,-2863.5449,N1r
1501.7252,0,-2891.0657,N1r
1924.4158,0,-2891.0657,N1r
2503.2831,0,-2891.0657,N1r
2848.1401,0,-2891.0657,N1r
3169.7331,0,-2891.0657,N1r
3379.7997,0,-2856.4053,N1r
3636.7501,0,-2814.0092,N1r
3905.4628,0,-2769.6723,N1r
4119.6109,0,-2734.3384,N1r
4280.22,0,-2673.9984,N1r
4416.4569,0,-2622.8147,N1r
4548.0405,0,-2573.3794,N1r
5409.3282,0,-2896.2755,N1r
5614.4734,0,-2896.2755,N1r
5777.9036,0,-2838.6112,N1r
6039.6687,0,-2838.6112,N1r
6564.5842,0,-2838.6112,N1r
6960.038,0,-2838.6112,N1r
7246.7333,0,-2838.6112,N1r
7455.8684,0,-2819.1393,N1r
7622.9395,0,-2803.5838,N1r
8053.3861,0,-2803.5838,N1r
8385.7862,0,-2803.5838,N1r
8579.6862,0,-2803.5838,N1r
8824.8316,0,-2803.5838,N1r
9043.6615,0,-2803.5838,N1r
9178.0067,0,-2803.5838,N1r
9268.0316,0,-2827.542,N1r
9333.4644,0,-2827.542,N1r
9656.4471,0,-2671.5178,N1r
9995.131,0,-2671.5178,N1r
47.7843,0,-3391.0954,E3N1co
374.159,0,-3431.144,E3N1co
